,MeasureReport ID,Measure,Updated,Subject,Reporter,Period Start,Period End,Beds,numTotBeds,numBeds,numBedsOcc,numICUBeds,numICUBedsOcc,Ventilators,numVent,numVentUse,Encounters,numC19HospPats,numC19MechVentPats,numC19HOPats,numC19OverflowPats,numC19OFMechVentPats,numC19Died
0,1550,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
1,1344,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
2,726,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
3,932,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
4,1138,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
5,520,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
6,108,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
7,314,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-11,2020-05-11,,732,622,146.0,110,21.0,,22,22.0,,73,22.0,0.0,0.0,29.0,0.0
8,933,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
9,727,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
10,315,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
11,109,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
12,1551,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
13,521,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
14,1345,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
15,1139,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-12,2020-05-12,,732,622,139.0,110,19.0,,22,22.0,,66,22.0,0.0,0.0,24.0,17.0
16,934,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
17,316,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
18,1346,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
19,728,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
20,1140,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
21,110,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
22,522,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
23,1552,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,ARES MEDICAL CENTER Building,ARES MEDICAL CENTER,2020-05-13,2020-05-13,,732,622,138.0,110,19.0,,22,22.0,,65,22.0,0.0,0.0,23.0,31.0
24,1197,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,BESTER MEMORIAL HOSPITAL Building,BESTER MEMORIAL HOSPITAL,2020-05-11,2020-05-11,,482,426,96.0,56,14.0,,11,11.0,,48,11.0,0.0,0.0,22.0,0.0
25,579,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,BESTER MEMORIAL HOSPITAL Building,BESTER MEMORIAL HOSPITAL,2020-05-11,2020-05-11,,482,426,96.0,56,14.0,,11,11.0,,48,11.0,0.0,0.0,22.0,0.0
26,167,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,BESTER MEMORIAL HOSPITAL Building,BESTER MEMORIAL HOSPITAL,2020-05-11,2020-05-11,,482,426,96.0,56,14.0,,11,11.0,,48,11.0,0.0,0.0,22.0,0.0
27,1403,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,BESTER MEMORIAL HOSPITAL Building,BESTER MEMORIAL HOSPITAL,2020-05-11,2020-05-11,,482,426,96.0,56,14.0,,11,11.0,,48,11.0,0.0,0.0,22.0,0.0
28,991,http://hl7.org/fhir/uv/saner/Measure/CDCPatientImpactAndHospitalCapacity,2023-01-05T20:26:07.403+00:00,BESTER MEMORIAL HOSPITAL Building,BESTER MEMORIAL HOSPITAL,2020-05-11,2020-05-11,,482,426,96.0,56,14.0,,11,11.0,,48,11.0,0.0,0.0,22.0,0.0
