,MeasureReport ID,Measure,Updated,Subject,Reporter,Period Start,Period End,positiveIncreasePercent,positiveIncreasePercentUnit,totalOrdersIncrease,totalTestResultsIncrease,positiveIncrease,positivePercent,positivePercentUnit,totalOrders,rejected,totalTestResults,positive,allReports,latestReports
0,2,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
1,826,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
2,208,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
3,414,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
4,1444,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
5,620,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
6,1032,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
7,1238,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-04,2020-04-04,53.85,%,,7853,4229,45.28,%,,,75356,34124,,
8,1240,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
9,1034,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
10,1446,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
11,4,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
12,416,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
13,828,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
14,622,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
15,210,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-05,2020-04-05,49.65,%,,6810,3381,45.65,%,,,82166,37505,,
16,624,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
